ax (m/s^2),ay (m/s^2),az (m/s^2)
0.0522,0.0262,0.24
0.0642,-0.0182,0.341
0.0611,-0.0705,0.2735
0.014,-0.0286,0.2452
0.0101,-0.0244,0.2422
0.0033,-0.0709,0.2802
0.0719,-0.0115,0.1917
0.0447,-0.0207,0.2416
0.0236,-0.0355,0.2723
0.0338,0.0021,0.2778
0.0317,-0.0182,0.2077
0.0848,-0.0571,0.2699
-0.025,-0.0187,0.2118
0.0409,-0.0658,0.2502
0.1132,-0.0464,0.1816
0.0735,-0.0107,0.1439
0.0457,0.0164,0.2159
0.0376,-0.0297,0.2979
0.0427,-0.0131,0.2232
0.0417,-0.0603,0.2281
0.0042,-0.0649,0.3117
0.0077,-0.0734,0.2956
0.0297,-0.0283,0.1721
0.0885,-0.041,0.1751
0.0633,-0.0664,0.2505
-0.0085,-0.0415,0.3388
0.0445,-0.0214,0.2776
0.071,-0.0168,0.2074
0.0557,-0.0476,0.2146
0.0124,-0.0364,0.2476
0.013,-0.0892,0.2774
0.0021,-0.0469,0.2856
0.0562,-0.0648,0.2048
0.0291,-0.0255,0.1901
0.0994,-0.0563,0.2991
-0.0115,-0.0006,0.2516
0.0142,-0.0537,0.1839
0.0988,-0.1025,0.2626
0.1185,-0.0878,0.194
0.0356,-0.0203,0.2617
0.0221,-0.0373,0.2036
0.0449,-0.0459,0.2371
0.0221,-0.0418,0.3302
0.0048,-0.0419,0.314
0.0384,-0.0475,0.2227
0.0605,-0.0026,0.1099
0.0831,-0.009,0.2723
-0.0141,-0.0271,0.302
0.0171,-0.0236,0.2445
0.042,-0.0263,0.2268
0.0322,-0.0268,0.2147
0.0429,-0.0363,0.3274
-0.0224,-0.0314,0.27
0.0212,-0.048,0.1979
0.0594,-0.0525,0.2244
0.0616,-0.0492,0.3121
-0.0016,-0.0214,0.3444
0.0122,-0.0552,0.2522
0.0818,-0.0645,0.1256
0.0749,-0.0424,0.2405
0.0885,0.002,0.3015
0.0062,-0.0313,0.3624
-0.0181,-0.0815,0.2554
0.0551,-0.043,0.2143
0.0853,-0.0411,0.2363
0.0783,-0.0303,0.3026
0.0024,-0.0222,0.2528
-0.0172,-0.0281,0.2564
0.0314,-0.0491,0.2029
0.0861,-0.0657,0.2569
0.0762,-0.0271,0.2777
-0.0169,-0.021,0.3416
-0.0484,-0.0061,0.2178
0.0036,-0.0742,0.1437
0.1132,-0.0415,0.2796
0.0626,0.0124,0.2482
0.0835,0.0145,0.2
0.029,-0.0839,0.2174
-0.0316,-0.0825,0.1926
0.098,-0.0801,0.2017
0.0492,-0.0159,0.2979
0.016,-0.0442,0.2672
0.0418,-0.0581,0.2251
0.0084,-0.0384,0.282
0.0216,-0.0536,0.2546
0.039,0.0066,0.2666
0.0442,-0.0382,0.1869
0.0864,-0.0461,0.256
0.0803,-0.0407,0.2818
0.0688,-0.0057,0.2306
-0.0274,-0.0404,0.2184
0.0133,-0.0411,0.3141
0.0188,-0.0601,0.2395
0.0728,-0.0876,0.1608
0.0288,-0.0467,0.1981
0.0678,-0.0456,0.271
0.0475,-0.0376,0.2661
0.0141,0.0047,0.262
0.0172,-0.0644,0.266
0.0429,-0.0327,0.1454
0.0876,-0.0413,0.2405
0.0821,-0.0133,0.276
0.1084,-0.0321,0.217
0.0801,-0.042,0.17
0.0547,-0.0651,0.2144
0.0166,-0.0192,0.341
-0.0202,-0.0501,0.288
0.0547,0.0181,0.2346
0.0337,-0.0269,0.2404
0.0082,-0.0497,0.1792
0.0516,-0.0594,0.2523
0.0169,-0.0493,0.2508
0.0133,-0.0372,0.2422
0.0487,-0.0595,0.1779
0.0653,-0.0068,0.2579
0.0752,-0.0207,0.2476
0.0419,-0.0026,0.2687
0.0323,-0.0839,0.1792
0.0298,-0.0394,0.1555
0.0195,-0.0863,0.2744
0.012,-0.0327,0.2343
0.0091,-0.0177,0.1897
0.0713,-0.0241,0.1557
0.0498,-0.0864,0.2128
-0.0452,-0.0209,0.306
0.073,0.0026,0.2856
0.0702,-0.0623,0.1442
0.0702,-0.0559,0.2213
0.0463,-0.0702,0.25
0.0335,-0.0063,0.2944
-0.0006,-0.0456,0.2203
0.0381,-0.0762,0.2523
0.0273,-0.0419,0.2904
0.0595,0.0164,0.2689
0.0819,-0.0463,0.2269
0.0546,-0.0891,0.2489
0.0246,-0.0736,0.1975
0.0238,-0.0279,0.1786
0.0993,-0.006,0.2733
0.0629,-0.0015,0.2828
0.0148,-0.0229,0.3117
0.0186,-0.0941,0.1477
0.0409,-0.0959,0.1528
0.0708,-0.0281,0.1976
0.0795,0.0401,0.2371
0.092,0.0157,0.316
0.0391,0.0032,0.3109
0.0183,-0.0326,0.2097
0.0674,-0.0299,0.1659
0.0717,0.0142,0.232
-0.0194,-0.0002,0.4144
-0.0226,-0.0386,0.1575
-0.0424,-0.0957,0.1564
-0.0354,-0.145,0.3447
-0.0104,-0.0929,0.3268
-0.0211,-0.0774,0.2797
0.1138,-0.0493,0.0678
0.0914,-0.1159,0.0995
0.0861,-0.0402,0.3241
0.1115,-0.0321,0.2857
0.0654,-0.0187,0.2531
-0.0204,-0.0205,0.2093
0.022,-0.0384,0.2366
0.0687,-0.0634,0.1918
0.024,-0.052,0.2472
-0.0141,-0.0533,0.2627
-0.029,-0.0522,0.263
-0.026,-0.0431,0.2074
0.107,-0.0218,0.1335
0.1305,-0.0078,0.1947
0.0523,-0.0346,0.2705
0.0555,-0.0449,0.2414
0.0779,-0.0496,0.2058
0.0855,0.0004,0.2934
0.0612,-0.0221,0.296
0.0053,-0.0174,0.373
0.0076,-0.0601,0.1173
0.0619,-0.0731,0.1314
0.0318,-0.0401,0.2216
0.0415,-0.0244,0.3578
-0.0128,-0.0238,0.2824
0.0458,-0.027,0.2123
0.0599,-0.0308,0.2565
0.0349,-0.0173,0.3256
0.0163,0.0043,0.2561
0.0568,-0.03,0.2319
0.0907,0.0029,0.1087
0.0478,-0.0312,0.2745
-0.0404,-0.0524,0.3486
-0.0115,0.0019,0.2078
0.0707,-0.0301,0.1829
0.1056,-0.0231,0.2637
0.0639,0.0014,0.2875
-0.0036,-0.0343,0.2176
0.0238,-0.0684,0.1619
0.0008,-0.0873,0.2559
