ax (m/s^2),ay (m/s^2),az (m/s^2)
0.0451,0.0193,-0.0736
0.0427,0.0573,-0.0995
0.0619,0.039,-0.0617
0.0499,0.0623,-0.077
0.0552,-0.0161,-0.0875
0.0682,0.0322,-0.0863
0.0187,0.0544,-0.1042
0.0162,-0.0076,-0.0812
0.0356,0.0132,-0.1064
0.0743,0.0234,-0.0752
0.0494,-0.0051,-0.045
0.0265,0.0168,-0.0484
0.055,0.0019,-0.0559
0.0606,0.055,-0.1001
0.0692,0.0506,-0.0602
0.0523,0.0749,-0.0671
0.0527,-0.0146,-0.114
0.0441,0.0441,-0.1273
0.0381,0.0262,-0.0855
0.0287,0.0451,-0.0569
0.0748,0.0315,-0.1276
0.064,0.0099,-0.0536
0.0602,0.0031,-0.1011
0.0777,-0.0026,-0.1043
0.0781,0.0358,-0.0801
0.0438,0.0394,-0.0826
0.0779,0.031,-0.1051
0.0442,0.0638,-0.1051
