ax (m/s^2),ay (m/s^2),az (m/s^2)
0.1512,0.0204,-0.1616
0.1996,0.0165,-0.1488
0.1842,-0.0003,-0.1325
0.1528,0.0393,-0.1044
0.183,-0.0083,-0.1622
0.183,-0.0083,-0.1622
0.1648,0.0205,-0.1728
0.1867,0.0018,-0.116
0.1668,0.0395,-0.1122
0.1545,-0.0109,-0.0983
0.1731,0.012,-0.0802
0.1969,0.0289,-0.1207
0.1949,0.0235,-0.0945
0.1821,0.0035,-0.1341
0.189,0.0229,-0.1563
0.1769,0.0468,-0.1085
0.1578,0.0087,-0.1207
0.1762,0.0349,-0.1388
0.1498,0.0173,-0.0912
0.1811,0.0094,-0.1234
0.1589,0.0422,-0.1239
0.1475,0.0419,-0.1106
0.1992,0.0226,-0.1097
0.1817,-0.0164,-0.1534
0.1822,0.0347,-0.1185
0.1828,0.0754,-0.1084
0.1288,0.0623,-0.1207
0.1807,0.0375,-0.1691
0.1377,0.0099,-0.1068
0.1393,0.0081,-0.0887
0.1444,0.0234,-0.1195
0.1995,-0.0081,-0.0815
0.1776,0.0775,-0.1386
0.1833,0.0633,-0.1326
0.1303,0.0301,-0.1016
0.1567,-0.003,-0.0974
0.1872,-0.0241,-0.0981
0.1719,0.0262,-0.1345
0.1839,0.0145,-0.0845
0.1555,0.0329,-0.0834
0.1985,0.0209,-0.1303
0.1867,0.0394,-0.1141
0.1794,0.0614,-0.1096
0.1519,0.0486,-0.1396
0.2071,0.017,-0.1483
0.1863,0.019,-0.1172
0.1148,0.0308,-0.1074
0.1373,0.0215,-0.101
0.1856,0.0499,-0.1438
0.145,-0.0318,-0.0995
0.1536,0.0035,-0.133
0.2238,0.0597,-0.1185
0.1666,0.0566,-0.1121
0.1518,0.0431,-0.0532
0.1829,0.0189,-0.1271
0.1585,0.0231,-0.1807
0.2128,0.0612,-0.0934
0.1697,0.0608,-0.0799
0.1906,0.0333,-0.1203
0.1857,0.0102,-0.1544
0.1797,0.0227,-0.1165
0.1628,-0.0062,-0.123
0.1247,0.0196,-0.1487
0.1341,0.0112,-0.0974
0.1794,0.0306,-0.1281
0.2028,0.0581,-0.1262
0.2101,0.0233,-0.1002
0.1286,0.0112,-0.1132
0.1764,0.0165,-0.1254
0.1847,0.042,-0.1557
0.1772,0.0532,-0.1158
0.1725,0.0296,-0.1416
0.1541,0.0163,-0.1283
0.1718,-0.0084,-0.1436
0.1269,0.0209,-0.1173
0.2176,0.0734,-0.135
0.1778,-0.028,-0.0452
0.1921,-0.0482,-0.1127
0.1164,0.0431,-0.0879
0.1409,0.0965,-0.1253
0.1361,0.0527,-0.1298
0.2038,-0.0083,-0.139
0.1516,0.0447,-0.1532
0.1727,0.0633,-0.1175
0.1372,0.0449,-0.0838
0.1638,0.0139,-0.1038
0.2057,0.0594,-0.1604
0.1808,0.0403,-0.1844
0.1738,-0.0193,-0.1025
0.1925,-0.0142,-0.1238
0.1423,0.0225,-0.1149
0.1702,0.0478,-0.1002
0.1697,0.0839,-0.0973
0.1741,0.0194,-0.0982
0.184,0.0381,-0.1144
0.1838,0.0402,-0.127
0.2022,0.0295,-0.1352
0.1964,0.0599,-0.1086
0.1562,0.0658,-0.1231
0.1758,0.0196,-0.0748
0.1637,0.0492,-0.087
0.1755,0.0368,-0.0844
0.1495,0.0298,-0.0915
0.2023,-0.0197,-0.0967
0.1905,-0.0248,-0.1677
0.1967,0.0548,-0.1553
0.1215,0.1065,-0.0763
0.1276,0.0274,-0.0676
0.1662,0.0057,-0.1886
0.1831,0.0415,-0.1069
0.1397,0.0645,-0.0988
0.1802,0.0384,-0.1005
0.2011,0.0021,-0.1057
0.1733,0.0266,-0.1806
0.1709,-0.0003,-0.1259
0.1321,-0.0091,-0.0988
0.1512,-0.0002,-0.1312
0.1818,-0.0131,-0.1579
0.1504,0.0653,-0.0915
0.1795,0.0541,-0.1496
0.1814,0.0335,-0.1332
0.2011,-0.0027,-0.1387
0.2147,0.033,-0.1273
0.2139,0.0243,-0.1359
0.1828,-0.0181,-0.0912
0.176,-0.0199,-0.1453
0.1577,-0.018,-0.1267
0.1315,0.0407,-0.1299
0.1766,0.016,-0.1099
0.1471,-0.0147,-0.0938
0.1703,-0.0515,-0.1359
0.2038,0.0402,-0.1808
0.1364,0.0895,-0.0555
0.2065,0.083,-0.1329
0.2407,0.0086,-0.1305
0.182,0.0039,-0.1178
0.2083,0.0309,-0.1549
0.142,0.0311,-0.1322
0.1444,0.0457,-0.1501
0.1448,0.0171,-0.1475
0.1573,0.0511,-0.1555
0.1099,0.0103,-0.1263
0.1945,-0.0195,-0.1804
0.2251,0.0414,-0.1257
0.1431,0.0482,-0.0897
0.2365,0.0317,-0.0931
0.1763,0.0709,-0.1159
0.1735,0.0559,-0.1607
0.1907,0.0408,-0.1392
0.1926,0.0197,-0.1366
0.1096,0.0841,-0.1204
0.1501,0.0251,-0.136
0.187,0.0065,-0.1443
0.1441,0.009,-0.1218
0.151,0.012,-0.1322
0.1591,0.0477,-0.1489
0.1989,0.0386,-0.0997
0.2098,-0.0464,-0.11
0.1668,0.0475,-0.1387
0.1428,0.0689,-0.0859
0.153,0.0631,-0.0912
0.193,0.0126,-0.1803
0.1785,0.0392,-0.1399
0.1927,0.0509,-0.1249
0.1335,0.0462,-0.0821
0.1644,0.035,-0.0926
0.2097,0.0215,-0.121
0.1893,0.0601,-0.1218
0.1482,0.0274,-0.0978
0.1499,-0.0048,-0.0911
0.1189,0.0376,-0.1407
0.1548,0.0455,-0.1478
0.1883,0.0477,-0.0936
0.19,0.0979,-0.1213
0.1923,0.0105,-0.128
0.1484,0.0576,-0.1058
0.1847,0.0627,-0.1582
0.1773,0.0147,-0.0939
0.1889,0.0191,-0.1138
0.1648,0.0253,-0.143
0.1839,0.014,-0.1117
0.1269,0.04,-0.1668
0.1722,0.0365,-0.1231
0.1788,0.0245,-0.09
0.1817,0.0515,-0.1214
0.2015,-0.0024,-0.0994
0.1735,0.0294,-0.13
0.1243,0.0712,-0.0752
0.1293,0.0672,-0.1082
0.1329,0.0287,-0.1462
0.1515,-0.0017,-0.168
0.167,0.0553,-0.1021
0.1724,0.0474,-0.0945
0.1725,0.0182,-0.1321
0.1799,0.0173,-0.1344
0.1646,0.0314,-0.1641
0.1615,0.0269,-0.118
0.1425,-0.0414,-0.0934
0.1921,0.0028,-0.1211
